,Quality_6,Quality_5,Quality_4,Quality_3,Quality_2,Quality_1
2001-12-31,1.0,3.0,67.0,55.0,46.0,57.0
2002-12-31,139.0,61.0,656.0,388.0,862.0,669.0
2003-12-31,234.0,387.0,2087.0,1575.0,2210.0,1547.0
2004-12-31,629.0,1301.0,7708.0,6096.0,11395.0,10076.0
2005-12-31,1411.0,4436.0,18045.0,12985.0,28067.0,26111.0
2006-12-31,3947.0,12039.0,46906.0,30875.0,74095.0,65411.0
2007-12-31,5374.0,14994.0,54855.0,35900.0,89069.0,83592.0
2008-12-31,7734.0,17637.0,50519.0,34689.0,84912.0,91130.0
2009-12-31,4905.0,12669.0,39670.0,34816.0,79438.0,94006.0
2010-12-31,5562.0,13590.0,34942.0,33277.0,75481.0,94746.0
2011-12-31,2872.0,8709.0,33231.0,28948.0,72145.0,91262.0
2012-12-31,5484.0,12034.0,31454.0,24993.0,75966.0,94101.0
2013-12-31,3221.0,8905.0,28099.0,26426.0,72071.0,91846.0
2014-12-31,2960.0,10063.0,28430.0,23946.0,65972.0,96104.0
